ags_new	name_new	ags_old	name_old
15086140	Möckern, Stadt	15086140	Möckern, Stadt
03351022	Wienhausen, Klostergemeinde	03351022	Wienhausen
13075039	Greifswald, Hansestadt	13001000	Greifswald, Hansestadt
13071107	Neubrandenburg, Stadt	13002000	Neubrandenburg, Stadt
13073088	Stralsund, Hansestadt	13005000	Stralsund, Hansestadt
13074087	Wismar, Hansestadt	13006000	Wismar, Hansestadt
13072006	Bad Doberan, Stadt	13051004	Bad Doberan, Stadt
13072036	Graal-Müritz	13051022	Graal-Müritz
13072058	Kröpelin, Stadt	13051041	Kröpelin, Stadt
13072060	Kühlungsborn, Stadt	13051042	Kühlungsborn, Stadt
13072074	Neubukow, Stadt	13051047	Neubukow, Stadt
13072091	Sanitz	13051068	Sanitz
13072093	Satow	13051086	Satow
13072029	Dummerstorf	13051089	Dummerstorf
13072001	Admannshagen-Bargeshagen	13051001	Admannshagen-Bargeshagen
13072007	Bartenshagen-Parkentin	13051006	Bartenshagen-Parkentin
13072017	Börgerende-Rethwisch	13051013	Börgerende-Rethwisch
13072047	Hohenfelde	13051028	Hohenfelde
13072075	Nienhagen	13051049	Nienhagen
13072083	Reddelich	13051059	Reddelich
13072086	Retschow	13051063	Retschow
13072099	Steffenshagen	13051074	Steffenshagen
13072117	Wittenbeck	13051083	Wittenbeck
13072019	Broderstorf	13051015	Broderstorf
13072054	Klein Kussewitz	13051037	Klein Kussewitz
13072070	Mandelshagen	13051045	Mandelshagen
13072081	Poppendorf	13051054	Poppendorf
13072087	Roggentin	13051064	Roggentin
13072100	Steinfeld	13051075	Steinfeld
13072108	Thulendorf	13051079	Thulendorf
13072002	Alt Bukow	13051002	Alt Bukow
13072008	Bastorf	13051007	Bastorf
13072014	Biendorf	13051010	Biendorf
13072052	Kirch Mulsow	13051036	Kirch Mulsow
13072085	Rerik, Stadt	13051062	Rerik, Stadt
13072005	Am Salzhaff	13051087	Am Salzhaff
13072022	Carinerland	13051088	Carinerland
13072012	Bentwisch	13051009	Bentwisch
13072015	Blankenhagen	13051011	Blankenhagen
13072032	Gelbensande	13051020	Gelbensande
13072072	Mönchhagen	13051046	Mönchhagen
13072088	Rövershagen	13051066	Rövershagen
13072011	Benitz	13051008	Benitz
13072018	Bröbberow	13051014	Bröbberow
13072051	Kassow	13051033	Kassow
13072090	Rukieten	13051067	Rukieten
13072095	Schwaan, Stadt	13051071	Schwaan, Stadt
13072110	Vorbeck	13051080	Vorbeck
13072116	Wiendorf	13051082	Wiendorf
13072030	Elmenhorst/Lichtenhagen	13051019	Elmenhorst/Lichtenhagen
13072057	Kritzmow	13051040	Kritzmow
13072064	Lambrechtshagen	13051043	Lambrechtshagen
13072077	Papendorf	13051051	Papendorf
13072080	Pölchow	13051053	Pölchow
13072098	Stäbelow	13051073	Stäbelow
13072121	Ziesendorf	13051085	Ziesendorf
13072021	Cammin	13051016	Cammin
13072034	Gnewitz	13051021	Gnewitz
13072037	Grammow	13051023	Grammow
13072076	Nustrow	13051050	Nustrow
13072097	Selpin	13051072	Selpin
13072102	Stubbendorf	13051076	Stubbendorf
13072105	Tessin, Stadt	13051077	Tessin, Stadt
13072107	Thelkow	13051078	Thelkow
13072118	Zarnewanz	13051084	Zarnewanz
13071027	Dargun, Stadt	13052017	Dargun, Stadt
13071029	Demmin, Hansestadt	13052018	Demmin, Hansestadt
13075030	Düvier	13052020	Düvier
13075036	Görmin	13052026	Görmin
13075082	Loitz, Stadt	13052049	Loitz, Stadt
13075123	Sassen-Trantow	13052098	Sassen-Trantow
13075002	Alt Tellin	13052001	Alt Tellin
13075009	Bentzin	13052008	Bentzin
13075023	Daberkow	13052016	Daberkow
13075054	Jarmen, Stadt	13052039	Jarmen, Stadt
13075070	Kruckow	13052046	Kruckow
13075134	Tutow	13052078	Tutow
13075140	Völschow	13052083	Völschow
13071008	Beggerow	13052007	Beggerow
13071064	Hohenbollentin	13052035	Hohenbollentin
13071089	Lindenberg	13052048	Lindenberg
13071096	Meesiger	13052051	Meesiger
13071072	Kentzlin	13052054	Kentzlin
13071112	Nossendorf	13052056	Nossendorf
13071128	Sarow	13052067	Sarow
13071131	Schönfeld	13052070	Schönfeld
13071139	Sommersdorf	13052073	Sommersdorf
13071150	Verchen	13052082	Verchen
13071157	Warrenzin	13052085	Warrenzin
13071014	Borrentin	13052093	Borrentin
13071065	Hohenmocker	13052094	Hohenmocker
13071076	Kletzin	13052095	Kletzin
13071136	Siedenbrünzow	13052096	Siedenbrünzow
13071148	Utzedel	13052097	Utzedel
13071002	Altenhagen	13052002	Altenhagen
13071004	Altentreptow, Stadt	13052003	Altentreptow, Stadt
13071006	Bartow	13052004	Bartow
13071016	Breesen	13052011	Breesen
13071017	Breest	13052012	Breest
13071022	Burow	13052015	Burow
13071041	Gnevkow	13052024	Gnevkow
13071044	Golchen	13052025	Golchen
13071049	Grapzow	13052029	Grapzow
13071050	Grischow	13052030	Grischow
13071057	Groß Teetzleben	13052032	Groß Teetzleben
13071059	Gültz	13052033	Gültz
13071081	Kriesow	13052045	Kriesow
13071120	Pripsleben	13052059	Pripsleben
13071125	Röckwitz	13052064	Röckwitz
13071135	Siedenbollentin	13052071	Siedenbollentin
13071146	Tützpatz	13052079	Tützpatz
13071158	Werder	13052086	Werder
13071160	Wildberg	13052087	Wildberg
13071163	Wolde	13052088	Wolde
13071007	Basedow	13052005	Basedow
13071030	Duckow	13052019	Duckow
13071032	Faulenrost	13052021	Faulenrost
13071039	Gielow	13052022	Gielow
13071084	Kummerow	13052047	Kummerow
13071092	Malchin, Stadt	13052050	Malchin, Stadt
13071109	Neukalen, Stadt	13052055	Neukalen, Stadt
13071015	Bredenfelde	13052010	Bredenfelde
13071018	Briggow	13052013	Briggow
13071048	Grammentin	13052028	Grammentin
13071060	Gülzow	13052034	Gülzow
13071068	Ivenack	13052038	Ivenack
13071070	Jürgenstorf	13052040	Jürgenstorf
13071074	Kittendorf	13052042	Kittendorf
13071079	Knorrendorf	13052044	Knorrendorf
13071102	Mölln	13052053	Mölln
13071123	Ritzerow	13052063	Ritzerow
13071127	Rosenow	13052065	Rosenow
13071142	Stavenhagen, Reuterstadt, Stadt	13052074	Stavenhagen, Reuterstadt, Stadt
13071169	Zettemin	13052092	Zettemin
13072043	Güstrow, Stadt	13053031	Güstrow, Stadt
13072106	Teterow, Stadt	13053087	Teterow, Stadt
13072009	Baumgarten	13053004	Baumgarten
13072013	Bernitt	13053007	Bernitt
13072020	Bützow, Stadt	13053013	Bützow, Stadt
13072028	Dreetz	13053019	Dreetz
13072050	Jürgenshagen	13053037	Jürgenshagen
13072053	Klein Belitz	13053039	Klein Belitz
13072078	Penzin	13053067	Penzin
13072089	Rühn	13053078	Rühn
13072101	Steinhagen	13053083	Steinhagen
13072104	Tarnow	13053086	Tarnow
13072114	Warnow	13053094	Warnow
13072120	Zepelin	13053099	Zepelin
13072004	Altkalen	13053003	Altkalen
13072010	Behren-Lübchin	13053005	Behren-Lübchin
13072016	Boddin	13053008	Boddin
13072031	Finkenthal	13053020	Finkenthal
13072035	Gnoien, Stadt	13053022	Gnoien, Stadt
13072068	Lühburg	13053056	Lühburg
13072111	Walkendorf	13053091	Walkendorf
13072115	Wasdow	13053095	Wasdow
13072033	Glasewitz	13053021	Glasewitz
13072039	Groß Schwiesow	13053027	Groß Schwiesow
13072044	Gutow	13053032	Gutow
13072055	Klein Upahl	13053041	Klein Upahl
13072061	Kuhs	13053045	Kuhs
13072067	Lohmen	13053054	Lohmen
13072069	Lüssow	13053057	Lüssow
13072071	Mistorf	13053060	Mistorf
13072073	Mühl Rosin	13053062	Mühl Rosin
13072079	Plaaz	13053068	Plaaz
13072084	Reimershagen	13053075	Reimershagen
13072092	Sarmstorf	13053080	Sarmstorf
13072119	Zehna	13053098	Zehna
13072042	Gülzow-Prüzen	13053104	Gülzow-Prüzen
13072048	Hoppenrade	13053035	Hoppenrade
13072056	Krakow am See, Stadt	13053043	Krakow am See, Stadt
13072059	Kuchelmiß	13053044	Kuchelmiß
13072063	Lalendorf	13053048	Lalendorf
13072065	Langhagen	13053049	Langhagen
13072026	Dobbin-Linstow	13053102	Dobbin-Linstow
13072003	Alt Sührkow	13053002	Alt Sührkow
13072023	Dahmen	13053015	Dahmen
13072024	Dalkendorf	13053016	Dalkendorf
13072038	Groß Roge	13053026	Groß Roge
13072040	Groß Wokern	13053028	Groß Wokern
13072041	Groß Wüstenfelde	13053029	Groß Wüstenfelde
13072045	Hohen Demzin	13053033	Hohen Demzin
13072049	Jördenstorf	13053036	Jördenstorf
13072066	Lelkendorf	13053050	Lelkendorf
13072109	Thürkow	13053088	Thürkow
13072113	Warnkenhagen	13053093	Warnkenhagen
13072094	Schorssow	13053105	Schorssow
13072096	Schwasdorf	13053106	Schwasdorf
13072103	Sukow-Levitzow	13053107	Sukow-Levitzow
13072082	Prebberede	13053109	Prebberede
13072025	Diekhof	13053017	Diekhof
13072046	Hohen Sprenz	13053034	Hohen Sprenz
13072062	Laage, Stadt	13053047	Laage, Stadt
13072112	Wardow	13053092	Wardow
13072027	Dolgen am See	13053103	Dolgen am See
13076014	Boizenburg/ Elbe, Stadt	13054013	Boizenburg/ Elbe, Stadt
13076060	Hagenow, Stadt	13054043	Hagenow, Stadt
13076088	Lübtheen, Stadt	13054067	Lübtheen, Stadt
13076090	Ludwigslust, Stadt	13054069	Ludwigslust, Stadt
13076010	Besitz	13054009	Besitz
13076016	Brahlstorf	13054014	Brahlstorf
13076030	Dersenow	13054022	Dersenow
13076054	Gresse	13054039	Gresse
13076055	Greven	13054040	Greven
13076102	Neu Gülze	13054078	Neu Gülze
13076106	Nostorf	13054083	Nostorf
13076122	Schwanheide	13054096	Schwanheide
13076136	Teldau	13054102	Teldau
13076138	Tessin b. Boizenburg	13054103	Tessin b. Boizenburg
13076009	Bengerstorf	13054127	Bengerstorf
13076002	Alt Zachun	13054002	Alt Zachun
13076004	Bandenitz	13054004	Bandenitz
13076008	Belsch	13054007	Belsch
13076013	Bobzin	13054011	Bobzin
13076019	Bresegard bei Picher	13054016	Bresegard bei Picher
13076041	Gammelin	13054031	Gammelin
13076057	Groß Krams	13054041	Groß Krams
13076064	Hoort	13054046	Hoort
13076065	Hülseburg	13054047	Hülseburg
13076070	Kirch Jesar	13054052	Kirch Jesar
13076079	Kuhstorf	13054060	Kuhstorf
13076099	Moraas	13054076	Moraas
13076110	Pätow-Steegen	13054086	Pätow-Steegen
13076111	Picher	13054087	Picher
13076116	Pritzier	13054090	Pritzier
13076119	Redefin	13054092	Redefin
13076123	Setzin	13054097	Setzin
13076131	Strohkirchen	13054100	Strohkirchen
13076139	Toddin	13054106	Toddin
13076145	Warlitz	13054111	Warlitz
13076001	Alt Krenzlin	13054001	Alt Krenzlin
13076018	Bresegard bei Eldena	13054017	Bresegard bei Eldena
13076046	Göhlen	13054034	Göhlen
13076058	Groß Laasch	13054042	Groß Laasch
13076084	Leussow	13054064	Leussow
13076086	Lübesse	13054065	Lübesse
13076087	Lüblow	13054066	Lüblow
13076118	Rastow	13054091	Rastow
13076134	Sülstorf	13054101	Sülstorf
13076141	Uelitz	13054107	Uelitz
13076146	Warlow	13054112	Warlow
13076156	Wöbbelin	13054119	Wöbbelin
13076012	Blievenstorf	13054010	Blievenstorf
13076017	Brenz	13054015	Brenz
13076105	Neustadt-Glewe, Stadt	13054081	Neustadt-Glewe, Stadt
13076036	Dümmer	13054027	Dümmer
13076063	Holthusen	13054045	Holthusen
13076071	Klein Rogahn	13054054	Klein Rogahn
13076107	Pampow	13054084	Pampow
13076121	Schossin	13054095	Schossin
13076130	Stralendorf	13054099	Stralendorf
13076147	Warsow	13054113	Warsow
13076154	Wittenförden	13054118	Wittenförden
13076163	Zülow	13054123	Zülow
13076039	Gallin	13054030	Gallin
13076073	Kogel	13054056	Kogel
13076142	Vellahn	13054109	Vellahn
13076159	Zarrentin am Schaalsee, Stadt	13054121	Zarrentin am Schaalsee, Stadt
13076092	Lüttow-Valluhn	13054126	Lüttow-Valluhn
13076074	Körchow	13054057	Körchow
13076083	Lehsen	13054063	Lehsen
13076152	Wittenburg, Stadt	13054117	Wittenburg, Stadt
13076153	Wittendörp	13054124	Wittendörp
13076034	Dömitz, Stadt	13054024	Dömitz, Stadt
13076067	Karenz	13054049	Karenz
13076093	Malk Göhren	13054071	Malk Göhren
13076094	Malliß	13054072	Malliß
13076103	Neu Kaliß	13054079	Neu Kaliß
13076143	Vielank	13054110	Vielank
13076053	Grebs-Niendorf	13054125	Grebs-Niendorf
13076003	Balow	13054003	Balow
13076021	Brunow	13054018	Brunow
13076027	Dambeck	13054021	Dambeck
13076037	Eldena	13054028	Eldena
13076049	Gorlosen	13054035	Gorlosen
13076050	Grabow, Stadt	13054037	Grabow, Stadt
13076069	Karstädt	13054051	Karstädt
13076076	Kremmin	13054058	Kremmin
13076097	Milow	13054074	Milow
13076098	Möllenbeck	13054075	Möllenbeck
13076100	Muchow	13054077	Muchow
13076115	Prislich	13054089	Prislich
13076127	Steesow	13054098	Steesow
13076161	Zierzow	13054122	Zierzow
13071110	Neustrelitz, Stadt	13055050	Neustrelitz, Stadt
13071033	Feldberger Seenlandschaft	13055082	Feldberger Seenlandschaft
13071035	Friedland, Stadt	13055020	Friedland, Stadt
13071038	Genzkow	13055021	Genzkow
13071040	Glienke	13055022	Glienke
13071031	Eichhorst	13055085	Eichhorst
13071028	Datzetal	13055088	Datzetal
13071037	Galenbeck	13055089	Galenbeck
13071011	Blankensee	13055004	Blankensee
13071012	Blumenholz	13055005	Blumenholz
13071025	Carpin	13055011	Carpin
13071042	Godendorf	13055023	Godendorf
13071058	Grünow	13055029	Grünow
13071066	Hohenzieritz	13055032	Hohenzieritz
13071075	Klein Vielen	13055035	Klein Vielen
13071080	Kratzeburg	13055037	Kratzeburg
13071100	Möllenbeck	13055045	Möllenbeck
13071147	Userin	13055070	Userin
13071162	Wokuhl-Dabelow	13055086	Wokuhl-Dabelow
13071009	Beseritz	13055002	Beseritz
13071010	Blankenhof	13055003	Blankenhof
13071019	Brunn	13055008	Brunn
13071104	Neddemin	13055046	Neddemin
13071108	Neuenkirchen	13055049	Neuenkirchen
13071111	Neverin	13055051	Neverin
13071141	Staven	13055066	Staven
13071145	Trollenhagen	13055069	Trollenhagen
13071161	Woggersin	13055076	Woggersin
13071166	Wulkenzin	13055079	Wulkenzin
13071170	Zirzow	13055081	Zirzow
13071140	Sponholz	13055090	Sponholz
13071021	Burg Stargard, Stadt	13055009	Burg Stargard, Stadt
13071024	Cammin	13055010	Cammin
13071026	Cölpin	13055012	Cölpin
13071055	Groß Nemerow	13055028	Groß Nemerow
13071067	Holldorf	13055033	Holldorf
13071117	Pragsdorf	13055054	Pragsdorf
13071090	Lindetal	13055087	Lindetal
13071083	Kublank	13055039	Kublank
13071098	Mildenitz	13055043	Mildenitz
13071105	Neetzka	13055047	Neetzka
13071116	Petersdorf	13055053	Petersdorf
13071130	Schönbeck	13055061	Schönbeck
13071132	Schönhausen	13055062	Schönhausen
13071153	Voigtsdorf	13055071	Voigtsdorf
13071164	Woldegk, Stadt	13055078	Woldegk, Stadt
13071054	Groß Miltzow	13055083	Groß Miltzow
13071061	Helpt	13055084	Helpt
13071099	Mirow, Stadt	13055044	Mirow, Stadt
13071119	Priepert	13055055	Priepert
13071126	Roggentin	13055058	Roggentin
13071159	Wesenberg, Stadt	13055074	Wesenberg, Stadt
13071167	Wustrow	13055080	Wustrow
13071156	Waren (Müritz), Stadt	13056072	Waren (Müritz), Stadt
13071005	Ankershagen	13056006	Ankershagen
13071082	Krukow	13056033	Krukow
13071086	Lapitz	13056035	Lapitz
13071094	Mallin	13056042	Mallin
13071101	Möllenhagen	13056047	Möllenhagen
13071115	Penzlin, Stadt	13056053	Penzlin, Stadt
13071121	Puchow	13056055	Puchow
13071001	Alt Schwerin	13056004	Alt Schwerin
13071043	Göhren-Lebbin	13056011	Göhren-Lebbin
13071093	Malchow, Stadt	13056041	Malchow, Stadt
13071113	Nossentiner Hütte	13056051	Nossentiner Hütte
13071114	Penkow	13056052	Penkow
13071138	Silz	13056064	Silz
13071155	Walow	13056071	Walow
13071171	Zislow	13056075	Zislow
13071036	Fünfseen	13056076	Fünfseen
13071047	Grabowhöfe	13056014	Grabowhöfe
13071051	Groß Dratow	13056015	Groß Dratow
13071052	Groß Gievitz	13056017	Groß Gievitz
13071056	Groß Plasten	13056019	Groß Plasten
13071062	Hinrichshagen	13056022	Hinrichshagen
13071063	Hohen Wangelin	13056023	Hohen Wangelin
13071069	Jabel	13056024	Jabel
13071071	Kargow	13056027	Kargow
13071077	Klink	13056030	Klink
13071078	Klocksin	13056031	Klocksin
13071103	Moltzow	13056049	Moltzow
13071106	Neu Gaarz	13056050	Neu Gaarz
13071129	Schloen	13056060	Schloen
13071134	Schwinkendorf	13056062	Schwinkendorf
13071144	Torgelow am See	13056066	Torgelow am See
13071149	Varchentin	13056067	Varchentin
13071151	Vielist	13056068	Vielist
13071154	Vollrathsruhe	13056070	Vollrathsruhe
13071085	Lansen-Schönau	13056077	Lansen-Schönau
13071003	Altenhof	13056005	Altenhof
13071013	Bollewick	13056007	Bollewick
13071020	Buchholz	13056008	Buchholz
13071023	Bütow	13056009	Bütow
13071034	Fincken	13056010	Fincken
13071045	Gotthun	13056012	Gotthun
13071046	Grabow-Below	13056013	Grabow-Below
13071053	Groß Kelle	13056018	Groß Kelle
13071073	Kieve	13056028	Kieve
13071087	Lärz	13056036	Lärz
13071088	Leizen	13056037	Leizen
13071091	Ludorf	13056039	Ludorf
13071095	Massow	13056044	Massow
13071097	Melz	13056045	Melz
13071118	Priborn	13056054	Priborn
13071122	Rechlin	13056056	Rechlin
13071124	Röbel/Müritz, Stadt	13056057	Röbel/Müritz, Stadt
13071133	Schwarz	13056061	Schwarz
13071137	Sietow	13056063	Sietow
13071143	Stuer	13056065	Stuer
13071152	Vipperow	13056069	Vipperow
13071165	Wredenhagen	13056073	Wredenhagen
