name	area	pop_sum	pop_m	pop_w	pop_p_km2	plz	lat	lng	urb_key	urb_class	ags_new_x	ags_new_y	name_new	ags_old	name_old
Rothenfels, St	12,06	1004,0	524,0	480,0	83,0	97851	9,589787	49,890749	03	gering besiedelt	09677181				
Urspringen	17,99	1344,0	678,0	666,0	75,0	97857	9,671485	49,901792	03	gering besiedelt	09677193				
Aura i.Sinngrund	12,07	1010,0	498,0	512,0	84,0	97773	9,574579	50,174553	03	gering besiedelt	09677116				
Burgsinn, M	51,36	2436,0	1228,0	1208,0	47,0	97775	9,649037	50,147057	03	gering besiedelt	09677122				
Fellen	34,35	859,0	421,0	438,0	25,0	97778	9,589888	50,152252	03	gering besiedelt	09677128				
Mittelsinn	14,28	812,0	406,0	406,0	57,0	97785	9,614814	50,193443	03	gering besiedelt	09677159				
Obersinn, M	11,7	970,0	494,0	476,0	83,0	97791	9,615206	50,209147	03	gering besiedelt	09677169				
Gössenheim	11,5	1179,0	596,0	583,0	103,0	97780	9,781104	50,019333	03	gering besiedelt	09677132				
Gräfendorf	45,31	1395,0	719,0	676,0	31,0	97782	9,738256	50,121214	03	gering besiedelt	09677133				
Karsbach	30,16	1743,0	874,0	869,0	58,0	97783	9,783261	50,041066	03	gering besiedelt	09677149				
Neuendorf	9,65	830,0	427,0	403,0	86,0	97788	9,645834	50,036072	03	gering besiedelt	09677164				
Neustadt a.Main	19,81	1288,0	640,0	648,0	65,0	97845	9,56761	49,930042	03	gering besiedelt	09677166				
Rechtenbach	7,27	1003,0	501,0	502,0	138,0	97848	9,507095	49,983652	03	gering besiedelt	09677172				
Steinfeld	33,69	2187,0	1119,0	1068,0	65,0	97854	9,668391	49,951957	03	gering besiedelt	09677186				
Himmelstadt	13,42	1592,0	817,0	775,0	119,0	97267	9,799753	49,924436	02	mittlere Besiedlungsdichte	09677142				
